id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48979250,Bramley Hollow,342465770,Julie,,Huon Valley,-43.13494,147.0121,Entire home/apt,220,2,91,2023-03-05,3.94,1,156,51,BSS/2020/246
48999563,Haven Beach House,98873579,Hideaway,,Kingborough,-43.07624,147.34516,Entire home/apt,474,3,49,2023-01-23,2.11,8,0,26,DA 2021 94
49001082,"Avoca b&b. Luxury accommodation, country feel",382925453,Mark,,Northern Midlands,-41.78161,147.72144,Private room,141,1,54,2023-01-26,2.33,2,345,35,Exempt: This listing falls under the 'home sharing' exemption
49002123,Avoca b&b. Luxury property country feel.,382925453,Mark,,Northern Midlands,-41.78091,147.72278,Private room,144,1,14,2023-03-05,0.61,2,348,8,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
49003069,Casa Con Vista Waterfront luxury with city views,395195144,Andrew And  Lisa,,Clarence,-42.90633,147.41862,Entire home/apt,787,2,30,2023-02-18,1.42,1,143,19,PDPLANPMTP-2021/017011
49007444,ART HAUS   Give your body and soul a holiday.,10977024,Theodore,,Glenorchy,-42.84552,147.25676,Private room,120,1,43,2023-02-26,1.83,1,57,27,Exempt: This listing falls under the 'home sharing' exemption
49016290,Derby Church - a slice of history,147344168,Julia,,Dorset,-41.14636,147.80045,Entire home/apt,215,2,36,2023-03-05,1.56,22,330,21,PLA//2021/32
49020038,"The Hut Studio: quiet, warm, and comfortable",121095978,Christopher,,Huon Valley,-43.2239,147.0988,Entire home/apt,150,2,34,2022-12-23,1.46,1,147,14,Exempt: This listing falls under the 'home sharing' exemption
49031614,Hundred Acre Hideaway - Bath - Hot Tub 2,43028140,Charlie,,Kingborough,-43.37743,147.25864,Entire home/apt,418,2,15,2023-02-11,1.11,2,337,13,Exempt: This listing falls under the 'home sharing' exemption
49036550,ELIZA COTTAGE - RIVERFRONT - SOMETHING SPECIAL,275407809,Joanne,,Huon Valley,-42.9704,147.08723,Entire home/apt,250,1,2,2023-01-23,0.09,2,347,1,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
49043009,Eco Mountain Lodge,52892514,Jane,,Break O'Day,-41.65723,148.24469,Entire home/apt,110,2,25,2023-02-22,1.73,1,165,18,Exempt: This listing falls under the 'home sharing' exemption
